,No,page,nick,time,content,area,ip,length,against,agree,channel,hot,level,login_type,media_type,mid
112,113,6,zgzhxl,2018-08-31 13:47:24,不排除是故意的，毕竟有前科,广东深圳,219.133.46.145,13,1535694444,22,jc,0,0,0,0,5B88D66B-DB852E91-9456F3DF-8F9-90F
113,114,6,快活鱼,2018-08-31 13:47:04,故技重演,广东东莞,112.93.182.114,4,1535694424,12,jc,0,0,2,0,5B88D658-705DB672-58FE515CFCC154AD-8F9-8DA
114,115,6,股海百万,2018-08-31 13:47:00,别急，大哥来帮你！,广东深圳,220.112.15.153,9,1535694420,2,jc,0,0,0,0,5B88D654-DC700F99-14ADE84EB-8F9-920
115,116,6,心静梦远,2018-08-31 13:45:18,想赖着不走了[疑问],辽宁沈阳,175.168.191.81,10,1535694318,2,jc,0,0,0,0,5B88D5ED-AFA8BF51-1829398DA-8F9-9AD
116,117,6,修齐LT,2018-08-31 13:44:38,直接派拖船去施救！！,安徽合肥,61.191.19.34,10,1535694278,1,jc,0,0,0,0,5B88D5C6-3DBF1322-74F8C1D5-8F9-7DC
117,118,6,陈和1,2018-08-31 13:44:20,这次估计还真不是，哪有用自己最大的主力战舰玩搁浅的啊！,黑龙江哈尔滨,123.165.109.234,27,1535694260,80,jc,0,0,0,0,5B88D5B4-7BA56DEA-D12D64CF-8F9-8CE
118,119,6,江南樵夫56,2018-08-31 13:43:23,前面一艘停在那里多少年了，也没挨一颗枪子儿，不要说击沉了。,上海,116.232.58.219,29,1535694203,4,jc,0,0,0,0,5B88D57C-74E83ADB-55375F25-8F9-894
119,120,6,chengfuyi程,2018-08-31 13:43:17,是不 又想赖着不走了,北京,115.33.79.61,10,1535694197,2,jc,0,0,0,0,5B88D576-73214F3D-46738912-8F9-A33
120,121,7,那些狗儿花,2018-08-31 13:43:12,拖走,北京,202.108.86.2,2,1535694192,0,jc,0,0,0,0,5B88D571-CA6C5602-70C2CAA7-8F9-864
121,122,7,李侠13_422,2018-08-31 13:43:03,坐滩,山东,117.136.77.61,2,1535694182,2,jc,0,0,0,0,5B88D567-75884D3D-12D05D3DB-8F9-8D4
122,123,7,9192KKKKK,2018-08-31 13:37:08,派个潜艇一发鱼雷，一艘破船留给鱼当家吧。,重庆,223.104.250.32,20,1535693828,2,jc,0,0,1,0,5B88D403-DF68FA20-14D3C1ABB-8F9-99C
123,124,7,好人2170925997,2018-08-31 13:36:53,从中国领海经过，向中国通报了没有？如果没有，直接击沉。,河南郑州,115.60.63.168,27,1535693813,6,jc,0,0,0,0,5B88D3F6-733C3FA8-8165B3AD-8F9-8EB
124,125,7,馨哥700,2018-08-31 13:35:52,是不是要故戏重演啊？,上海,180.173.1.16,10,1535693752,13,jc,0,0,0,0,5B88D3B9-B4AD0110-8CD7F597-8F9-8B6
125,126,7,用户6536442141,2018-08-31 13:35:01,又来？击毁,湖南长沙,106.17.3.6,5,1535693701,4,jc,0,0,0,0,5B88D382-6A110306-1859A311D-8F9-7DE
126,127,7,红黄蓝绿宝石,2018-08-31 13:34:54,咋就这么巧呢？[抓狂]太欺负人啦！,河南平顶山,42.232.204.116,17,1535693694,7,jc,0,0,0,0,5B88D37E-2AE8CC74-13446253B-8F9-8B8
127,128,7,瓜崽仔,2018-08-31 13:33:48,还真肯下血本[哈哈],广东深圳,113.118.235.18,10,1535693628,0,jc,0,0,0,0,5B88D33C-7176EB12-572628C1-8F9-8BC
128,129,7,独来独往AkxH,2018-08-31 13:32:11,故意的，限3天弄走，不然直接击沉,广东深圳,14.116.142.139,16,1535693531,9,jc,0,0,0,0,5B88D2DB-E748E8B-AF83EE7F-8F9-90A
129,130,7,舜山南峰,2018-08-31 13:32:03,又一次搁浅？[哈哈][哈哈][哈哈][哈哈][哈哈][哈哈][哈哈][哈哈][哈哈][哈哈][哈哈][哈哈][哈哈][哈哈][哈哈][哈哈][哈哈][哈哈][哈哈][弱],河南郑州,115.60.138.176,85,1535693523,6,jc,0,0,0,0,5B88D2D3-733C8AB0-DAE13A25-8F9-876
130,131,7,俞先生_84439,2018-08-31 13:32:00,美国的烂货,浙江绍兴,113.214.211.58,5,1535693520,0,jc,0,0,0,0,5B88D2D0-71D6D33A-13A432C00-8F9-815
131,132,7,没创意就不起名,2018-08-31 13:31:30,几千吨的舰，为啥非要在靠近礁的地方走?你试试不管他，看他还会不会在那里坐滩?,山西,117.136.90.54,38,1535693490,0,jc,0,0,0,0,5B88D2B2-75885A36-C15A6636-8F9-88D
132,133,7,rmmndjdhahn,2018-08-31 13:31:13,这次是真的搁浅，这是他们最大最新的船,上海,101.81.192.240,18,1535693473,0,jc,0,0,0,0,5B88D2A1-6551C0F0-7D9F0E24-8F9-808
133,134,7,用户135****1444,2018-08-31 13:30:43,难道又是故计重施!打着隔浅的慌子!又要赖着不走!!!再后来隔浅的地盘又是他家的了???,安徽芜湖,36.63.149.57,43,1535693443,3,jc,0,0,2,0,5B88D283-243F9539-595860B55DD77A5D-8F9-886
134,135,7,用户0v8e1w3cbp,2018-08-31 13:29:16,海警和海军舰艇触动帮助菲方尽早把搁浅的舰艇拖到菲律宾港口区，以防改过故伎重演。,河北邯郸,106.119.67.68,39,1535693356,5,jc,0,0,0,0,5B88D22C-6A774344-3C94ECB7-8F9-853
135,136,7,用户6388020393,2018-08-31 13:27:47,看来菲律宾还不老实啊,山东烟台,58.57.16.206,10,1535693267,8,jc,0,0,0,0,5B88D1D2-3A3910CE-17CC174A9-8F9-848
136,137,7,颂雪,2018-08-31 13:27:15,好呀，赶快把天鲲号开过去把半月礁给填了！顺便把“德尔毕拉尔”给埋了。,北京,61.51.211.206,34,1535693235,4,jc,0,0,0,0,5B88D1B2-3D33D3CE-56DC1515-8F9-956
137,138,7,亲亲璇珺,2018-08-31 13:26:17,故伎重演,北京海淀,124.205.149.170,4,1535693177,2,jc,0,0,0,0,5B88D178-7CCD95AA-475E7607-8F9-8A1
138,139,7,大师弟945,2018-08-31 13:26:13,又是坐滩！故技重演！小心,湖南,117.136.89.99,12,1535693173,1,jc,0,0,0,0,5B88D175-75885963-9E405816-8F9-836
139,140,7,太阳之子83930,2018-08-31 13:26:11,如果进入我领海范围，坚决没收罚款判刑驱除，按中国法律办事,广东深圳,14.155.88.98,28,1535693171,3,jc,0,0,0,0,5B88D172-E9B5862-13FD63E9B-8F9-8CA
140,141,8,井底野心,2018-08-31 13:24:30,菲是小角色，还是先收拾越南吧,四川成都,222.209.19.40,14,1535693069,0,jc,0,0,0,0,5B88D10D-DED11328-6BCF1CAB-8F9-9AC
141,142,8,不懂大师_,2018-08-31 13:23:29,历史又要重演了,江苏苏州,221.224.122.162,7,1535693009,1,jc,0,0,0,0,5B88D0D2-DDE07AA2-5605A87E-8F9-87B
142,143,8,岁入如梭,2018-08-31 13:23:27,从照片位置判断绝对不是故意 如果真要 故意应该是船头向前冲  才能 停稳 如果像图片中一样搁浅 一个小小的风暴  就会让他 下海,四川达州,171.212.45.92,64,1535693007,1,jc,0,0,0,0,5B88D0CF-ABD42D5C-9701B0B9-8F9-8BB
143,144,8,轻巡洋舰,2018-08-31 13:23:16,这艘他们可能舍不得,北京,223.72.78.134,9,1535692996,1,jc,0,0,0,0,5B88D0C4-DF484E86-56BA272E-8F9-90F
144,145,8,用户5839596289,2018-08-31 13:21:28,这分明是要故伎重演吧！尽快把他拖走[怒骂][怒骂][怒骂][怒骂],广西南宁,182.90.216.110,33,1535692888,2,jc,0,0,0,0,5B88D057-B65AD86E-15C112B01-8F9-868
145,146,8,韬光养肥蓝红白,2018-08-31 13:20:50,先要求赔偿，限时不赔就扣压，名正言顺拖走。,广东广州,117.136.32.86,21,1535692850,0,jc,0,0,0,0,5B88D02F-75882056-3BBE4AF3-8F9-8E3
146,147,8,用户6595187028,2018-08-31 13:20:21,这是否说明，我军方对半月瞧缺乏有效控制！,广东东莞,113.77.133.214,20,1535692821,9,jc,0,0,0,0,5B88D014-714D85D6-1891A9154-8F9-844
147,148,8,科幻世界ceibs,2018-08-31 13:18:32,丫是故意的吧。[怒],加拿大安大略,45.74.75.20,10,1535692712,20,jc,0,0,0,0,5B88CFA8-2D4A4B14-5918CC37-8F9-8D2
148,149,8,用户6592262586,2018-08-31 13:17:23,马上去脱离！这垃圾菲佣！,广西桂林,116.1.7.13,12,1535692643,13,jc,0,0,0,0,5B88CF62-7401070D-188EDF1BA-8F9-94A
149,150,8,业余杀手2010,2018-08-31 13:17:21,限期拉走，否则开火击毁,广西南宁,221.7.131.189,11,1535692641,12,jc,0,0,0,0,5B88CF61-DD0783BD-48E02C0E-8F9-859
150,151,8,林金克V,2018-08-31 13:16:57,又来碰瓷,广东深圳,223.73.5.204,4,1535692617,1,jc,0,0,0,0,5B88CF47-DF4905CC-537B1910-8F9-810
151,152,8,用户6473064405,2018-08-31 13:16:33,规定时间让他拖走，否则就直接炸掉，要有大国的魄力，懒得和他磨磨唧唧的！,广东深圳,119.123.63.8,35,1535692593,7,jc,0,0,0,0,5B88CF30-777B3F08-181D31FD5-8F9-89A
152,153,8,情归新泽希,2018-08-31 13:15:39,这次应该不会碰瓷了，毕竟是他们最牛逼的战舰，得回家撑门面呀，拖不回去那就交给我们炸碎了它。,北京,106.39.191.115,45,1535692539,1,jc,0,0,0,0,5B88CEFB-6A27BF73-87A7A463-8F9-816
153,154,8,舵爷不败,2018-08-31 13:15:18,故技重施,四川成都,211.162.220.40,4,1535692518,2,jc,0,0,0,0,5B88CEE5-D3A2DC28-189C5FE29-8F9-893
154,155,8,枫丹柏露校长,2018-08-31 13:15:01,又来了,辽宁大连,218.25.168.2,3,1535692501,1,jc,0,0,1,0,5B88CED4-DA19A802-A181A622-8F9-8A3
155,156,8,梵絷,2018-08-31 13:14:55,这艘是其最大军舰，不可能用来坐滩。我们该帮下拖走,福建泉州,110.84.115.225,24,1535692495,2,jc,0,0,0,0,5B88CED0-6E5473E1-144A8216D-8F9-870
156,157,8,老五锅粥,2018-08-31 13:14:19,既然是中国的领土领海，为啥不击沉。。,浙江杭州,220.191.106.129,18,1535692459,2,jc,0,0,0,0,5B88CEA9-DCBF6A81-62AB136D-8F9-97B
157,158,8,莲子大山,2018-08-31 13:14:08,又来了,甘肃兰州,27.227.241.21,3,1535692447,2,jc,0,0,0,0,5B88CEA0-1BE3F115-922EB4DD-8F9-8FE
158,159,8,未来螺旋,2018-08-31 13:13:24,出于人道主义。直接拖到很深的海面。沉到海底！,天津,223.104.227.57,22,1535692404,0,jc,0,0,0,0,5B88CE74-DF68E339-133AEF32D-8F9-83A
159,160,8,刀无形剑无影,2018-08-31 13:12:40,这是菲律宾惯用的方法以此来侵占地方，中国应提高警惕防止历史重演。,辽宁辽阳,120.200.223.192,32,1535692360,1,jc,0,0,0,0,5B88CE49-78C8DFC0-C3C42FEB-8F9-7D7
160,161,9,ccchin,2018-08-31 13:12:37,警惕菲律宾又搞搁浅占地！,福建福州,140.243.227.231,12,1535692357,1,jc,0,0,0,0,5B88CE45-8CF3E3E7-4F3CE635-8F9-8E8
161,162,9,魅力之苏州,2018-08-31 13:12:30,决不可能故技重演![拳头],江苏镇江,223.104.145.68,13,1535692350,0,jc,0,0,0,0,5B88CE3E-DF689144-7B0D53E9-8F9-919
162,163,9,WRLCD_112,2018-08-31 13:12:04,故技重施,四川成都,182.148.24.185,4,1535692324,1,jc,0,0,0,0,5B88CE24-B69418B9-D4AF8CC7-8F9-899
163,164,9,冰风_he,2018-08-31 13:09:48,又来碰瓷？,浙江杭州,115.204.230.107,5,1535692188,14,jc,0,0,0,0,5B88CD9C-73CCE66B-538AA429-8F9-871
164,165,9,刘毓民,2018-08-31 13:09:24,依本人看，这一次是真的触礁搁浅的。菲律宾不会故技重演，会想办法拖走搁浅军舰的。因为菲中目下双边关系发展顺利，菲不会借故损害中菲关系大局。,陕西西安,1.83.81.175,68,1535692163,9,jc,0,0,0,0,5B88CD84-15351AF-4A8AD295-8F9-815
165,166,9,努力吧sao年,2018-08-31 13:09:09,这种新闻就不要发了小事情想想那艘放多少年了还不是天天懒在哪,广东广州,14.215.161.122,29,1535692149,6,jc,0,0,0,0,5B88CD74-ED7A17A-154BDAC09-8F9-84B
166,167,9,张涛向上,2018-08-31 13:08:32,冲归国有,四川成都,117.136.63.151,4,1535692111,1,jc,0,0,0,0,5B88CD4F-75883F97-97E9D8A2-8F9-89B
167,168,9,用户6188955876,2018-08-31 13:08:27,又想赖着不走，没门,青海,111.44.231.36,9,1535692107,2,jc,0,0,0,0,5B88CD4B-6F2CE724-170E3F8E4-8F9-8F8
168,169,9,用户133****8889,2018-08-31 13:08:19,难道又不想走了,广东肇庆,119.125.217.188,7,1535692099,1,jc,0,0,2,0,5B88CD42-777DD9BC-5949D3D37816467D-8F9-8E5
169,170,9,张涛向上,2018-08-31 13:08:01,没收,四川成都,117.136.63.151,2,1535692081,0,jc,0,0,0,0,5B88CD31-75883F97-97E9D8A2-8F9-89B
170,171,9,低调de峰哥,2018-08-31 13:07:54,不按自己的航线往这个浅滩上开，不搁浅才怪。,广东深圳,14.155.157.208,21,1535692074,0,jc,0,0,0,0,5B88CD26-E9B9DD0-6A4A2A5C-8F9-8F1
171,172,9,Onlyuc,2018-08-31 13:07:21,@中国海军,河南郑州,106.34.35.32,5,1535692041,0,jc,0,0,1,0,5B88CD09-6A222320-51DC01C0-8F9-819
172,173,9,猪先锋,2018-08-31 13:06:46,帮他漏水！,上海,116.226.152.162,5,1535692006,0,jc,0,0,0,0,5B88CCE6-74E298A2-A8A89052-8F9-8C6
173,174,9,Onlyuc,2018-08-31 13:05:46,又来？,河南郑州,106.34.35.32,3,1535691946,5,jc,0,0,1,0,5B88CCAB-6A222320-51DC01C0-8F9-94A
174,175,9,超级美人总部,2018-08-31 13:04:58,这次成本有点大啊！把仅有的三艘助理舰的一艘拿出来玩这么老套的把戏。,上海,114.84.39.138,33,1535691898,0,jc,0,0,0,0,5B88CC7A-7254278A-147F2FABF-8F9-855
175,176,9,用户3892535487,2018-08-31 13:04:41,中国赶快把它拖走，夜长梦多。,重庆,222.178.38.129,14,1535691881,0,jc,0,0,0,0,5B88CC68-DEB22681-E80360BF-8F9-837
176,177,9,不如直接相忘于江湖,2018-08-31 13:04:26,直接击沉，少说废话！,广东深圳,14.116.141.76,10,1535691866,0,jc,0,0,0,0,5B88CC5A-E748D4C-E4A94B4D-8F9-8B4
177,178,9,股票用户629063,2018-08-31 13:04:05,又一次坐礁行动,重庆,117.59.39.15,7,1535691845,1,jc,0,0,0,0,5B88CC44-753B270F-3F0A2387-8F9-8BA
178,179,9,观者_,2018-08-31 13:03:03,限期脱离，否则中方给予清拖。,北京,223.104.3.180,14,1535691783,0,jc,0,0,0,0,5B88CC08-DF6803B4-A65AD41B-8F9-96C
179,180,9,春色铮铮,2018-08-31 13:02:49,坐滩，老杜这小子也要学阿鸡诺，不像，他不能那么蠢,黑龙江哈尔滨,1.58.90.14,24,1535691769,0,jc,0,0,0,0,5B88CBF9-13A5A0E-1625F2E81-8F9-A0C
180,181,10,frhrherherhr,2018-08-31 13:02:49,矮油，老调重弹...,湖北孝感,111.178.20.163,10,1535691769,0,jc,0,0,0,0,5B88CBF8-6FB214A3-13EF755CA-8F9-8CD
181,182,10,smart-兔子,2018-08-31 13:02:06,不赔钱别想走,上海,180.173.19.136,6,1535691726,0,jc,0,0,0,0,5B88CBCE-B4AD1388-6DCC73D7-8F9-8F3
182,183,10,伏牛探花,2018-08-31 13:01:27,故技重施……,广东深圳,112.97.63.180,6,1535691687,1,jc,0,0,0,0,5B88CBA4-70613FB4-6DCC4956-8F9-915
183,184,10,温情野马,2018-08-31 13:01:10,直接拉到钢铁厂,重庆,106.91.162.220,7,1535691670,0,jc,0,0,0,0,5B88CB96-6A5BA2DC-633EA11C-8F9-987
184,185,10,鱼淡风清,2018-08-31 13:00:19,我去，信不信连你上次那个一起拖走,北京,223.104.3.182,16,1535691619,0,jc,0,0,0,0,5B88CB63-DF6803B6-15F7159C5-8F9-864
185,186,10,明略历史,2018-08-31 12:59:45,碰瓷,香港,202.68.200.153,2,1535691585,21,jc,0,0,0,0,5B88CB3D-CA44C899-B7D7C85F-8F9-8A4
186,187,10,ajane98,2018-08-31 12:58:19,出现在那个位置，就是宣誓主权,福建福州,111.142.134.247,14,1535691499,22,jc,0,0,0,0,5B88CAEA-6F8E86F7-14ECF54F9-8F9-89B
187,188,10,股票配资一陈晨,2018-08-31 12:57:42,新炒股时代难题：当老妈和老婆被同一只股票套住了，先去给谁补仓？ ​​​​,广东深圳,113.91.32.54,36,1535691462,8,jc,0,0,0,0,5B88CAC7-715B2036-1584BBB6E-8F9-8EF
188,189,10,ninikakaba,2018-08-31 12:57:38,炸沉它！,广东深圳,183.14.76.3,4,1535691458,6,jc,0,0,0,0,5B88CAC2-B70E4C03-15C71EFDF-8F9-917
189,190,10,BGB286,2018-08-31 12:57:29,十天半个月不拖走的话，我们也得赶紧挑艘旧的051之类的给搁浅上去,上海,101.81.84.56,32,1535691449,7,jc,0,0,0,0,5B88CABA-65515438-15D116457-8F9-A1E
190,191,10,用户6081764521,2018-08-31 12:57:22,拖走……我国没有一寸多余的领地领海领空来放一艘破船,江苏无锡,223.104.145.220,25,1535691442,9,jc,0,0,0,0,5B88CAAF-DF6891DC-16A805CA9-8F9-945
191,192,10,用户tnwhx5c68q,2018-08-31 12:56:43,尽快想法清走，以免菲律宾估伎重演。,广东深圳,117.136.39.93,17,1535691403,8,jc,0,0,0,0,5B88CA8A-7588275D-EDCE8D6A-8F9-834
192,193,10,汉正能源,2018-08-31 12:56:41,重新演出，欢迎光临！,河南洛阳,61.54.59.79,10,1535691401,5,jc,0,0,0,0,5B88CA8A-3D363B4F-C3767BD3-8F9-8D1
193,194,10,本是老中医专治吹牛皮,2018-08-31 12:56:14,又来？啥毛病。,陕西西安,219.245.156.228,7,1535691374,10,jc,0,0,0,0,5B88CA6A-DBF59CE4-18D38F4D1-8F9-904
194,195,10,秀才不出门V,2018-08-31 12:55:10,又是搁浅，老套路了，只怕又是占一块地方。,广东广州,61.140.25.30,20,1535691310,12,jc,0,0,0,0,5B88CA2D-3D8C191E-DC2D5D25-8F9-8BA
195,196,10,宁静致远_12537,2018-08-31 12:55:00,坐滩的事情还没有解决了！！,天津,60.29.46.180,13,1535691300,10,jc,0,0,0,0,5B88CA25-3C1D2EB4-3C137C4A-8F9-8DA
196,197,10,用户wlgopd7llz,2018-08-31 12:53:57,炸了吧,山东,223.104.189.109,3,1535691237,1,jc,0,0,0,0,5B88C9E5-DF68BD6D-B43D2EC1-8F9-85C
197,198,10,念兮wl,2018-08-31 12:53:11,再见不怎么不发声明,浙江宁波,36.22.54.218,9,1535691191,0,jc,0,0,0,0,5B88C9B7-241636DA-150357808-8F9-87B
198,199,10,716－2632,2018-08-31 12:51:52,坐滩占礁，其实根本没有用的，一艘入侵的舰船而已，毫无意义。,山西太原,183.185.150.242,29,1535691112,1,jc,0,0,0,0,5B88C967-B7B996F2-56C2ACDA-8F9-83E
199,200,10,无量道场,2018-08-31 12:51:10,这可是菲的最大战舰，应该舍不得搁浅粘胶吧！,内蒙古呼和浩特,116.113.15.32,21,1535691070,7,jc,0,0,0,0,5B88C93E-74710F20-62639833-8F9-997
200,201,11,evaszb,2018-08-31 12:49:13,需要破冰船吗,天津,117.136.54.127,6,1535690953,6,jc,0,0,0,0,5B88C8CA-7588367F-411B3143-8F9-899
201,202,11,用户5615200843,2018-08-31 12:48:29,要是成心的，也不至于让自己最大的主力舰去坐滩吧，估计菲律宾海军就是这个能力,天津,123.150.183.213,37,1535690909,17,jc,0,0,0,0,5B88C89D-7B96B7D5-14EB12A4B-8F9-92B
202,203,11,ahngyt,2018-08-31 12:48:26,不会又来同样的一套吧,安徽宣城,60.173.86.150,10,1535690906,16,jc,0,0,0,0,5B88C89A-3CAD5696-491CA39C-8F9-93F
203,204,11,老夫的救赎,2018-08-31 12:48:18,这是历史重演吗？借机又占住不走了,江西景德镇,111.73.172.118,16,1535690898,12,jc,0,0,0,0,5B88C891-6F49AC76-17C013C1C-8F9-9B3
204,205,11,乐活山谷,2018-08-31 12:47:20,不用拖了，一枚小捣蛋就解决了[哈哈],辽宁大连,42.84.198.45,18,1535690840,6,jc,0,0,0,0,5B88C859-2A54C62D-5D3A65E5-8F9-8F4
205,206,11,Ross博尹,2018-08-31 12:45:17,拖船帮他拉回家！不要我们帮你炸了。,江西南昌,118.212.210.17,17,1535690717,6,jc,0,0,0,0,5B88C7DC-76D4D211-1846FB844-8F9-90E
206,207,11,胡言乱语_12630,2018-08-31 12:45:13,拖走，然后疏通填岛工作一起上，重点在于清理航道，消除危险，建设平安南海。,浙江宁波,113.214.209.112,36,1535690713,11,jc,0,0,0,0,5B88C7DA-71D6D170-13965ACC9-8F9-8B7
207,208,11,中华壹夫,2018-08-31 12:45:02,又来了，中国应将其拖走！！！,甘肃兰州,125.75.41.48,14,1535690702,5,jc,0,0,0,0,5B88C7CE-7D4B2930-6231229A-8F9-7AF
208,209,11,慈悲喜舍_33404,2018-08-31 12:43:48,自家的地方不需要用搁浅，直接驻军,山东烟台,182.42.97.154,16,1535690628,7,jc,0,0,0,0,5B88C784-B62A619A-BBAD0216-8F9-8C4
209,210,11,开心每一天比什么都好,2018-08-31 12:42:22,又来一次，坚决拖走，卖废铁,广东深圳,119.123.66.214,13,1535690542,4,jc,0,0,0,0,5B88C72C-777B42D6-163FAF99D-8F9-876
210,211,11,yuqin0511,2018-08-31 12:32:23,这么好的战舰拖还给它们可惜了，拉回来当靶舰吧,江苏镇江,223.68.64.244,22,1535689943,3,jc,0,0,0,0,5B88C4D6-DF4440F4-7293951F-8F9-A49
211,212,11,天苍苍股茫茫,2018-08-31 12:29:23,[酷]我们拖船开过去，不让拖走，我们也一起搁浅,福建福州,121.204.67.192,23,1535689763,32,jc,0,0,0,0,5B88C423-79CC43C0-171BEF447-8F9-8A7
212,213,11,夜跑2017,2018-08-31 12:27:17,先围观。假如菲律宾不要这艘破船了，就将废舰沉没填海、种岛。如果菲律宾提出来帮忙拖走，记得收费与给发票。,北京,49.7.6.219,51,1535689637,74,jc,0,0,0,0,5B88C3A4-310706DB-757F6CB9-8F9-8C3
213,214,11,用户136****5448,2018-08-31 12:25:51,不用拖出来了，坐滩占礁吧！,广东广州,121.8.210.46,13,1535689551,15,jc,0,0,2,0,5B88C34F-7908D22E-58E6590378C3F5E0-8F9-897
214,215,11,tony8024,2018-08-31 12:18:53,要么击沉  要么和美国开打,湖北武汉,61.183.172.40,13,1535689133,5,jc,0,0,0,0,5B88C1AC-3DB7AC28-50351B5D-8F9-8DE
215,216,11,用户6103757152,2018-08-31 12:16:17,帮他拉出去，快.主动点,北京,106.39.191.136,11,1535688977,5,jc,0,0,0,0,5B88C112-6A27BF88-16BCFF160-8F9-809
216,217,11,手机用户2898340311,2018-08-31 12:07:47,以后禁止菲任何船只靠近岛礁,北京,49.7.4.162,13,1535688467,5,jc,0,0,0,0,5B88BF13-310704A2-ACC129D7-8F9-87D
217,218,11,用户186****6161,2018-08-31 12:05:53,第二次，好！这是一次战略机遇,北京,114.245.182.234,14,1535688353,19,jc,0,0,2,0,5B88BEA1-72F5B6EA-59415E27CF878444-8F9-81E
218,219,11,zxpWeb,2018-08-31 12:04:20,赶紧拖走,福建,223.104.6.42,4,1535688259,3,jc,0,0,0,0,5B88BE43-DF68062A-53C65A2F-8F9-907
219,220,11,用户6301415641,2018-08-31 12:04:07,主动帮他拉走,广东深圳,219.133.46.129,6,1535688247,7,jc,0,0,0,0,5B88BE36-DB852E81-17797F8D9-8F9-984
220,221,12,时空流客,2018-08-31 11:59:20,又来这手，拖船拖走！船员接到军舰上。,黑龙江哈尔滨,113.6.237.2,18,1535687960,14,jc,0,0,0,0,5B88BD18-7106ED02-838FDF5D-8F9-887
221,222,12,用户mca1hcu0vt,2018-08-31 11:57:32,又是同一个套路？,北京,117.136.0.199,8,1535687852,13,jc,0,0,0,0,5B88BCAD-758800C7-12B3AD576-8F9-95D
222,223,12,就爱较真,2018-08-31 11:50:20,又来这招？,四川成都,171.210.66.132,5,1535687420,10,jc,0,0,0,0,5B88BAFB-ABD24284-6D99BC02-8F9-8C5
223,224,12,用户6498487526,2018-08-31 11:47:19,好主意,四川自贡,171.94.224.29,3,1535687239,0,jc,0,0,0,0,5B88BA46-AB5EE01D-183570CE6-8F9-8AF
224,225,12,用户6498487526,2018-08-31 11:47:04,我们赶紧派拖船去帮助他们   拖船费好商量,四川自贡,171.94.224.29,21,1535687224,9,jc,0,0,0,0,5B88BA37-AB5EE01D-183570CE6-8F9-872
225,226,12,中华神盾驱逐舰,2018-08-31 11:45:59,菲律宾真舍得啊，坐滩都派海军最大的军舰了，中国要不拖走是不是太对不起人家了。,北京,111.198.117.169,38,1535687159,19,jc,0,0,1,0,5B88B9F7-6FC675A9-7D893785-8F9-847
226,227,12,用户5935186766,2018-08-31 11:42:02,不老实撤走就炸沉它。,北京,49.7.4.189,10,1535686922,10,jc,0,0,0,0,5B88B90A-310704BD-161C3C34E-8F9-959
227,228,12,堂主888,2018-08-31 11:40:50,直接炸沉，,北京,223.104.3.42,5,1535686850,11,jc,0,0,0,0,5B88B8C1-DF68032A-6A959AA1-8F9-777
228,229,12,沼泽地1218,2018-08-31 11:38:02,中国有的是旧船，弄上几十艘挨个岛礁搁浅。,安徽合肥,60.166.38.219,20,1535686682,25,jc,0,0,0,0,5B88B81A-3CA626DB-4BF9873F-8F9-785
229,230,12,嗨喽201708,2018-08-31 11:27:58,又来碰瓷啊，是不是有想做滩不走了，真是那样我当破烂给收了,辽宁大连,119.112.23.69,28,1535686078,49,jc,0,0,1,0,5B88B5BF-77701745-1796A91F7-8F9-80C
230,231,12,水滴1645419581,2018-08-31 11:22:37,拖走并立即造岛，永绝后患！,广东,117.136.79.229,13,1535685756,59,jc,0,0,0,0,5B88B47C-75884FE5-62131C3D-8F9-833
231,232,12,于是111,2018-08-31 11:21:56,又准备故技重演,湖南长沙,113.246.16.230,7,1535685716,17,jc,0,0,1,0,5B88B454-71F610E6-147361147-8F9-8BF
232,233,12,用户152****4727,2018-08-31 11:20:07,应该帮菲律宾救援，防止再来一次“坐滩”,山东,223.104.189.5,19,1535685607,45,jc,0,0,2,0,5B88B3E8-DF68BD05-590C0A578FCE0373-8F9-80A
233,234,12,行进中的蚁族,2018-08-31 11:17:14,又来这一套,湖北武汉,223.104.20.136,5,1535685433,1669,jc,0,0,1,0,5B88B33A-DF681488-6BD1636E-8F9-7E6
234,235,12,用户139****2089,2018-08-31 11:16:59,又想坐滩?,广东,223.104.63.119,5,1535685419,116,jc,0,0,2,0,5B88B32A-DF683F77-593AB5669B800A39-8F9-9B5
235,236,12,楚留香,2018-08-31 11:16:00,故技重演,上海,101.87.28.33,4,1535685360,1011,jc,0,0,2,0,5B88B2EF-65571C21-591FFF894782B5BF-8F9-8DA
236,237,12,股票用户875795,2018-08-31 11:14:57,手法老到，又来一下。,福建厦门,222.76.149.59,10,1535685297,15,jc,0,0,0,0,5B88B2B0-DE4C953B-550C6593-8F9-8C9
237,238,12,三七活血散,2018-08-31 11:14:27,又想故计重施,广西,117.136.97.76,6,1535685267,8,jc,0,0,0,0,5B88B292-7588614C-A546B6F5-8F9-890
238,239,12,水月_83770,2018-08-31 11:13:22,又玩这招？,广西南宁,106.127.22.11,5,1535685202,8,jc,0,0,0,0,5B88B252-6A7F160B-5DF707BE-8F9-8CF
239,240,12,再见skycat,2018-08-31 11:13:09,这次动作有点大啊！舍得用巡逻舰搁浅来占据半月礁。要引起我们足够的重视，派个拖船去把搁浅的巡逻舰拖走，提供拖曳服务是要收费的。,四川攀枝花,221.236.79.232,62,1535685189,23,jc,0,0,0,0,5B88B245-DDEC4FE8-13F8431F1-8F9-91E
